customerid,average_order_value,time_between_purchases_log,purchase_behavior,churn_probability
CUST_JCWF3E,127.37,25,12,0
CUST_CUAB0P,54.72,20,17,0
CUST_O3JAZA,163.18,59,9,1
CUST_BGXPSH,154.6,77,17,0
CUST_X8RNAE,120.72,8,3,0
CUST_9DEKCG,161.94,77,9,1
CUST_NJSB02,100.93,79,13,0
CUST_HMTVS4,21.62,28,7,1
CUST_LQH30Q,175.28,64,5,0
CUST_Y2YINU,172.94,15,16,0
CUST_3P2UMQ,58.64,48,5,0
CUST_KIBAVM,117.72,51,9,1
CUST_9AROEI,152.03,13,13,1
CUST_FC2HE2,162.47,27,11,1
CUST_3F5EN6,88.93,6,18,0
CUST_WBGU5J,142.97,71,7,1
CUST_H48LUS,28.6,49,11,0
CUST_7HT6JO,91.74,54,13,1
CUST_I1N1WD,178.29,53,5,1
CUST_FN8PY4,56.42,79,1,0
CUST_4GIQZY,74.03,85,12,1
CUST_HZ74LO,154.18,63,1,0
CUST_JFVXKV,74.92,42,11,1
CUST_ZUK9Q7,60.06,86,15,0
CUST_2PCJ9L,118.29,74,1,0
CUST_VAESL6,169.14,54,7,1
CUST_87DEVY,187.11,17,19,0
CUST_9VKSU1,24.48,24,5,0
CUST_LMBIH0,162.93,26,13,0
CUST_C18AR3,32.21,13,8,0
CUST_23QPRQ,145.94,78,19,0
CUST_EDS361,93.48,64,11,1
CUST_4AEC5A,183.4,87,8,1
CUST_FVNH1W,100.67,21,8,0
CUST_8WWDDS,93.02,43,4,0
CUST_XT5LBL,81.13,70,10,1
CUST_J822AM,105.14,35,19,0
CUST_6IUYWL,107.21,17,18,0
CUST_Z4L8EN,105.49,88,5,0
CUST_IPSN0J,85.09,19,4,0
CUST_FNFEMZ,80.79,36,8,0
CUST_29GLJR,85.43,17,4,0
CUST_33VZRQ,86.5,21,12,1
CUST_IXO6EU,77.01,12,6,0
CUST_41NPAV,44.04,61,14,0
CUST_2XMYNS,106.08,72,16,0
CUST_3ARV4A,120.71,59,4,0
CUST_QN1WVA,80.78,85,10,1
CUST_KTSE6P,45.76,5,18,0
CUST_9E139K,106.88,26,10,1
CUST_3NJ14S,122.12,34,5,1
CUST_NO8UKG,128.44,41,7,1
CUST_92EBRB,128.64,27,10,0
CUST_MQXD1O,77.68,49,9,0
CUST_IZHXJ2,144.59,35,9,1
CUST_SWW40U,142.03,85,6,0
CUST_RPU5US,64.06,54,2,1
CUST_U8HPFX,64.2,19,2,1
CUST_WRUI76,124.68,89,12,1
CUST_Y2IWUI,103.66,9,12,1
CUST_IIULGV,164.64,49,8,0
CUST_I9DNYJ,173.55,38,11,0
CUST_SO0L8L,69.25,75,4,1
CUST_Y1OZ58,117.11,38,15,0
CUST_IDIWUU,31.47,32,10,1
CUST_FCNJSS,131.6,17,11,0
CUST_UTTG0G,132.73,81,10,0
CUST_SNIQG8,42.23,43,3,1
CUST_01QACZ,69.48,69,3,1
CUST_94BFK4,151.24,82,10,1
CUST_JGPSFV,183.66,78,9,0
CUST_NUIG34,92.82,9,17,1
CUST_NAE0L9,131.65,18,17,0
CUST_5HLFWU,34.24,51,14,0
CUST_LZAHJC,184.3,65,1,1
CUST_SNHCSR,64.71,7,8,1
CUST_JISDI8,149.78,39,17,1
CUST_F5Z0S1,27.8,41,2,1
CUST_XIHAKZ,136.68,16,3,1
CUST_R9FZTB,139.58,23,19,0
CUST_RJ4GDX,185.23,87,19,1
CUST_GNSYWV,64.22,57,12,0
CUST_JSLJT6,68.71,46,1,1
CUST_8UYRKV,189.69,27,8,0
CUST_SSUT3I,172.32,59,5,0
CUST_ZFGN4S,106.97,61,19,0
CUST_VANXMA,27,18,1,1
CUST_EXY09B,145.56,42,3,1
CUST_DWSCKH,159.39,70,12,1
CUST_KUQBKU,155.41,29,7,0
CUST_TQGIOV,183.45,37,15,0
CUST_50750J,171.78,13,5,1
CUST_UE3KQS,24.15,47,4,1
CUST_XS4EAV,172.55,85,12,0
CUST_SMACWR,115.78,27,15,1
CUST_CA1QY3,72.33,89,4,0
CUST_3EUWTO,49.14,41,4,1
CUST_37FQUT,174.54,36,8,0
CUST_PYQ0JP,199.81,33,12,1
CUST_5YZKIY,72.53,13,19,0
CUST_M9J2EM,85.81,23,16,1
CUST_MK96QU,29.3,6,4,0
CUST_U0IYOV,147.37,65,10,1
CUST_M3ZSVV,182.71,72,17,0
CUST_VMMEX8,22.92,55,16,1
CUST_CUK1J5,71.5,6,12,1
CUST_ZID1WJ,52.21,88,13,1
CUST_64V6CB,37.73,69,11,0
CUST_HF2MC8,114.05,30,15,1
CUST_0NQMR5,21.19,46,18,1
CUST_6DXPD1,30.08,40,19,0
CUST_JRP6YR,20.46,71,8,1
CUST_H83BTM,27.18,9,16,0
CUST_X4IFF0,83.75,88,7,1
CUST_KQ94CT,186.08,14,18,1
CUST_PXYEY9,112.05,27,15,1
CUST_GL0D4S,21.78,49,17,0
CUST_B94XWM,98.8,44,10,0
CUST_JORK0B,69.17,59,13,1
CUST_OL1YCI,177.46,88,8,1
CUST_HUIPZ9,31.63,77,17,1
CUST_NQXY9J,128.39,16,19,1
CUST_WMKMF8,79.18,22,2,1
CUST_ML1DD2,138.41,45,6,0
CUST_WPMEM4,102.66,48,10,0
CUST_FZQ6IT,66.05,82,10,1
CUST_6O4U7Q,82.98,49,17,0
CUST_0CZH3I,184.38,47,7,1
CUST_3I29TC,54.18,15,12,1
CUST_M79HBQ,115.46,71,13,1
CUST_A4JI0R,50.33,72,4,1
CUST_S9E93H,27.43,27,13,1
CUST_GAWCWY,76.43,44,1,0
CUST_EBZ990,163.18,69,5,1
CUST_LXI35K,98.68,52,17,1
CUST_JRCCUM,135.74,85,9,1
CUST_TDZID6,143.96,24,1,1
CUST_86ZZUA,115.05,56,9,1
CUST_4FKC4A,52.64,54,18,0
CUST_G34S6Z,100.97,48,5,0
CUST_MOSOGJ,177.63,25,16,1
CUST_VS3TA9,116.33,88,14,0
CUST_L3UBUR,147.97,59,10,0
CUST_EWCQVN,191.1,57,9,0
CUST_L2IA76,175.36,26,8,0
CUST_4UO4AG,24.52,83,9,1
CUST_CQ6RS4,107.99,39,14,0
CUST_SOR9T2,149.15,73,19,0
CUST_3GWFMA,66.39,69,17,0
CUST_XL4LJG,155.7,64,12,1
CUST_JUS6CC,140.6,73,5,0
CUST_1HL085,83.7,45,19,1
CUST_Q4EYYA,99.11,15,1,1
CUST_9Z1TVK,30.63,8,8,1
CUST_L1HANL,69.21,74,11,0
CUST_14W5DN,195.21,82,18,1
CUST_FQU2PL,152.45,81,12,1
CUST_UIWXOZ,133.39,21,4,1
CUST_RREUG6,190.66,63,15,1
CUST_2JKSZN,166.08,10,7,1
CUST_7HPMWX,195.62,74,2,1
CUST_9LZSUC,139.78,85,8,0
CUST_MZV3LG,184.4,33,10,0
CUST_RID5YE,31.77,39,14,0
CUST_Q5ECSI,108.22,31,19,0
CUST_J7DFKM,116.72,33,19,0
CUST_7ESPBH,196.08,31,18,0
CUST_SE10XY,194.14,83,8,0
CUST_TLO4OA,75.79,12,10,0
CUST_S9JH0P,88.67,9,8,1
CUST_XF20C1,137.1,70,8,1
CUST_H1TFYH,72.16,10,13,1
CUST_GTD6Q9,71.19,71,8,1
CUST_MNTT0F,103.36,32,7,0
CUST_GXIAMG,114.44,83,10,1
CUST_XYICEF,45.56,46,7,0
CUST_AW9XGT,131.4,38,10,0
CUST_ZJT22H,79.7,26,13,1
CUST_MKTYEY,159.99,56,16,0
CUST_6S2V4C,166.2,34,15,0
CUST_W84F1B,88.32,35,3,0
CUST_8ZM029,66.98,68,7,0
CUST_AFE5SZ,146.03,20,6,0
CUST_BJRZJL,42.6,77,2,1
CUST_DX8CHY,97.44,31,6,1
CUST_5UKYAK,69.97,11,17,0
CUST_09BYOZ,71.21,63,10,1
CUST_YSAGA4,134.67,86,16,1
CUST_60B4I5,136.32,61,3,0
CUST_C9N5FV,111.2,31,3,1
CUST_2FVJ7V,183.15,70,5,0
CUST_RSS5KA,25.96,31,16,0
CUST_CM7KZJ,65.44,32,4,0
CUST_YDWNXE,165.58,89,1,1
CUST_BGYJEO,58.95,81,10,1
CUST_1GEAAI,66.62,56,8,1
CUST_P9T6U4,190.99,16,5,0
CUST_U3QKW4,188.54,21,5,1
CUST_QTGUOJ,39.63,79,13,0
CUST_AW63NS,76.1,6,5,1
CUST_HQHCLK,110.86,72,3,1
CUST_125PEU,191.73,72,14,0
CUST_UXW4GX,141.89,32,19,1
CUST_K2TVI3,134.04,75,3,0
CUST_F244RX,53.86,68,14,0
CUST_11DYKP,177.77,20,8,1
CUST_OLQRK7,102.71,56,15,0
CUST_USPPCW,149.22,56,13,1
CUST_NFVHH2,64.02,74,17,0
CUST_NYIL4U,133.53,36,12,1
CUST_MOB5DK,38.41,40,7,1
CUST_GF1VR5,144.23,85,13,1
CUST_BP4PAV,125.96,38,5,1
CUST_4N74BJ,131.63,65,5,1
CUST_6AFVSI,139.02,59,1,0
CUST_1AN8RW,143.11,23,2,0
CUST_1C5MM4,95.6,40,8,1
CUST_RT97NE,172.42,44,14,0
CUST_5X62JH,135.97,23,3,1
CUST_BY1X8M,25.86,87,6,1
CUST_EDW3O8,141.43,38,16,1
CUST_XIE51L,172.23,66,4,0
CUST_NYWYL3,153.47,32,8,1
CUST_NHIYBZ,63.73,50,8,1
CUST_IK71GU,146.63,44,14,0
CUST_TEFQOA,93.02,17,8,0
CUST_YUIKJ9,160.23,83,12,1
CUST_U96VBM,173.14,65,17,0
CUST_U3JA4F,39.65,74,17,0
CUST_9GFUU1,55.53,43,14,1
CUST_R54MRU,138.45,37,14,1
CUST_UTVRN1,160.46,84,10,1
CUST_D2RK8N,59.64,5,16,1
CUST_VI1XIC,188.18,60,2,0
CUST_W51XPS,45.52,37,5,0
CUST_7DCQPL,41.7,5,3,0
CUST_NNZ1HX,29.73,48,16,1
CUST_J06QWM,99.68,84,6,0
CUST_LIWA36,54.22,43,7,0
CUST_WM6PZT,190.57,53,1,0
CUST_F5Q0B2,194.66,37,2,1
CUST_4QOQW2,89.75,8,3,1
CUST_D9TYDK,25.3,42,15,1
CUST_CRKWTN,122.8,30,1,0
CUST_8EGIYZ,133.17,42,19,0
CUST_QZQWA8,29.95,13,13,1
CUST_AJGUU0,67.86,53,19,0
CUST_7LNE2A,96.86,26,14,0
CUST_OCJKZ3,181.85,81,1,0
CUST_VMR7M6,81.82,64,7,0
CUST_ALT1IX,132.64,71,10,1
CUST_3KIC2N,120.92,81,3,1
CUST_GTQ6QF,27.25,32,19,0
CUST_V16E4J,178.84,76,2,1
CUST_YD8G5Q,186.28,54,13,0
CUST_A2U1CC,175.47,57,4,0
CUST_GN5KM7,93.21,55,17,1
CUST_FMKQTL,39.8,86,3,0
CUST_BLJMUH,34.64,85,5,0
CUST_IEZW99,122.1,24,2,1
CUST_QFKUZV,46.66,15,13,0
CUST_EDUCQO,180.93,51,8,0
CUST_VMQNS4,46.04,89,17,1
CUST_IALMF5,107.57,20,9,1
CUST_IUUSV0,56.16,5,5,0
CUST_UX1N9T,92.95,64,8,0
CUST_BYLX0X,58.47,55,5,0
CUST_29LEQW,70.91,31,8,1
CUST_WFK637,195.25,72,8,1
CUST_E9ABKV,172.75,18,19,1
CUST_JM90QP,154.56,35,3,0
CUST_0HRXV8,141.46,77,2,1
CUST_O819CA,125.65,70,8,0
CUST_HPUZGK,77.38,25,6,0
CUST_R473OA,60.93,78,5,1
CUST_1Y0X3K,51.94,16,2,0
CUST_IFV4TZ,169.29,80,5,0
CUST_YXUCO6,57.97,66,14,1
CUST_SE9L79,127.14,20,18,0
CUST_C1HRAI,97.59,46,4,1
CUST_JIKGXI,27.78,58,7,0
CUST_HBT9KF,73.92,72,9,1
CUST_EMZ11T,186.45,28,4,0
CUST_CFP4D9,171.61,64,7,0
CUST_B3A3X6,46.39,59,8,1
CUST_MFAA3Q,131.64,72,11,1
CUST_Y09J4N,53.9,49,17,1
CUST_AAW1HY,138.85,84,5,0
CUST_X44TJM,138.25,21,11,1
CUST_PAJRNB,46.44,28,3,1
CUST_S9OH7U,105.6,89,19,1
CUST_WRGWLG,188.62,35,12,0
CUST_AAJKK4,38.47,16,1,0
CUST_2WK67O,87.6,28,4,1
CUST_WNLRBP,81.12,12,16,1
CUST_R1JZY3,155.48,21,16,0
CUST_Y0X0AN,99.59,59,9,0
CUST_H5WO82,190.22,61,12,1
CUST_Q7XXDF,107.66,83,11,1
CUST_6JY684,51.2,80,19,1
CUST_28GSKT,185.2,76,14,1
CUST_OPVYLG,29.46,16,1,0
CUST_X7TM5R,113.62,74,11,1
CUST_91OXRC,123.68,69,6,0
CUST_CAWRS4,82.68,48,2,1
CUST_8XA11X,87.77,62,6,0
CUST_UB0SOX,168.82,47,14,0
CUST_T09RL3,119.87,5,7,1
CUST_VCQSGR,72.47,41,2,0
CUST_D3YN4R,144,74,15,0
CUST_VM3B2L,124.43,82,8,0
CUST_LASLSL,86.46,13,12,1
CUST_VAPXSV,199.48,74,17,1
CUST_YMW2M3,30.53,24,8,1
CUST_IV4CCI,24.66,56,8,1
CUST_IKYM6K,44.97,17,10,0
CUST_U4U7B3,111.91,78,1,0
CUST_WZOK8D,56.53,82,8,0
CUST_2BW5VL,126.16,50,7,0
CUST_6GFKGP,138,73,7,1
CUST_FKYRL8,37.16,5,5,0
CUST_RS64EM,124.93,40,3,1
CUST_I9XK7J,165.04,75,3,0
CUST_MQHZH3,91.97,39,1,1
CUST_WPCPVE,179.18,43,14,1
CUST_NUFMWX,163.08,16,4,1
CUST_TZ23CP,147.09,21,9,1
CUST_JOE853,168.1,20,5,0
CUST_5QMZ9O,102.7,14,17,1
CUST_6O56AA,139.38,64,6,1
CUST_XRP6VP,127.5,65,7,0
CUST_2E78ZN,158.9,89,17,0
CUST_F1KW22,26.75,42,14,1
CUST_N6CJJL,74.65,87,15,0
CUST_2CYV1L,140.46,88,1,0
CUST_DA50O6,95.17,23,4,1
CUST_683JS7,63.35,18,13,1
CUST_97G11G,27.89,5,18,1
CUST_RLHI3U,93.1,46,10,0
CUST_M4YYKD,61.92,14,12,1
CUST_4CKQFB,106.92,66,5,1
CUST_S55SYW,119.48,12,5,1
CUST_AEDNZP,183.59,37,17,0
CUST_OQOTFC,45.55,46,10,1
CUST_DYCNTP,144.82,16,16,1
CUST_CRT1QS,195.45,26,7,1
CUST_PZB33L,186.99,20,3,0
CUST_89QPKM,156.11,77,19,1
CUST_7MWPSG,108.88,76,12,1
CUST_PCW70E,35.74,34,11,1
CUST_BNXCJ8,80.58,80,5,0
CUST_616MQ4,145.89,79,11,1
CUST_XR5KVV,93.47,84,17,0
CUST_47VWOQ,45.78,82,6,0
CUST_O3NH7E,184.58,21,15,1
CUST_70KWXF,197.96,41,18,1
CUST_T95SD4,35.26,55,9,1
CUST_0Q6KLN,75.35,53,3,0
CUST_Y433R6,160.28,87,8,0
CUST_6DUDPF,22.8,5,8,1
CUST_7I4JXK,146.08,46,18,1
CUST_40IXLN,41.95,48,8,0
CUST_RESK5F,163.64,82,19,1
CUST_P7WRLR,96.31,87,5,0
CUST_PX01GX,38.58,74,11,1
CUST_BJML8V,44.44,74,9,1
CUST_2LMBNM,43.74,69,15,1
CUST_DTAWGS,170.13,88,4,0
CUST_WGW53C,138.6,8,19,0
CUST_8QEAW2,147.72,41,6,1
CUST_42SXOI,184.79,85,1,0
CUST_FNFDXE,198.89,82,18,0
CUST_OQJFTJ,171.25,88,18,1
CUST_C53FFA,194.96,54,4,0
CUST_O3CBJO,114.16,28,13,0
CUST_D1ITYT,176.54,89,12,1
CUST_5P4S54,70.2,5,16,1
CUST_1SX45W,155.51,38,18,1
CUST_X6PDS5,29.88,21,3,1
CUST_IJSWXV,28.23,48,17,0
CUST_B0K8GL,94.49,65,14,0
CUST_PNC4NS,98.64,67,19,0
CUST_E7FFU1,64.56,43,16,0
CUST_W1WOJV,178.94,6,11,1
CUST_Z6QSTD,32.18,61,5,0
CUST_A6X4EP,57.23,39,13,0
CUST_SIHQ8F,79.52,40,3,0
CUST_FZKZD2,63.13,61,13,1
CUST_L27JCO,149.53,74,12,1
CUST_NXTBHA,182.53,29,7,1
CUST_HAX1X4,25.51,42,14,0
CUST_NBGLP0,130.45,89,19,0
CUST_TR7KZ3,183.57,76,14,0
CUST_XZ5E1P,143.6,69,13,0
CUST_SQWWWA,146.45,74,10,1
CUST_QF5F39,23.21,17,12,1
CUST_RIK7W2,123.05,11,11,1
CUST_QMJ3YW,64.34,59,13,1
CUST_FXZWV6,29.69,12,3,1
CUST_JSHGOL,106.33,52,7,1
CUST_VQLVIV,185.32,76,9,1
CUST_ZXIVLM,166.2,47,14,0
CUST_8U3D0L,110.18,72,2,1
CUST_VSCK1Q,78.66,50,5,0
CUST_9IM3MK,32.29,79,14,1
CUST_Z008CA,148.19,61,17,1
CUST_O5FAN6,116.36,15,5,0
CUST_JPG7FZ,159.4,83,5,1
CUST_M9UXE5,45.54,45,7,1
CUST_66XM51,28.23,39,16,0
CUST_FYR2IF,168.72,49,6,1
CUST_99GWZK,139.77,40,17,1
CUST_Q4DV0K,140.3,74,3,0
CUST_CP6841,129.3,73,5,1
CUST_GFFWXP,117.07,86,13,0
CUST_DMA1U1,68.44,65,6,1
CUST_FNIZFO,57.65,19,16,1
CUST_11BMY1,73.84,82,5,0
CUST_RAYM3R,157.93,74,6,0
CUST_3NZDY2,180.73,24,7,0
CUST_QPI9K8,142.08,42,7,1
CUST_7A9J1G,121.48,15,10,0
CUST_GUUC4E,130.49,24,8,0
CUST_FNGS8H,86.68,59,12,0
CUST_QTZS0F,114.68,53,17,1
CUST_L5QA3A,120.52,85,9,1
CUST_INNYWZ,84.74,33,1,0
CUST_QJE7OF,109.25,63,15,1
CUST_60SK59,129.71,65,3,0
CUST_LBUY2W,135.14,33,12,0
CUST_JY56RV,93.49,23,16,0
CUST_4HK7EC,144.81,7,6,0
CUST_YPLPDQ,162.62,83,12,0
CUST_J6J2O9,165.85,51,3,0
CUST_8BLIKZ,123.87,69,12,0
CUST_B67NKD,61.03,10,16,0
CUST_Y3UQY3,35.16,43,3,0
CUST_NSJE2J,195.78,44,16,0
CUST_N4GTYJ,141.24,75,6,1
CUST_CSG0MF,102.02,7,12,1
CUST_QBKAZD,65.78,37,9,0
CUST_0VPPRX,157.76,50,13,1
CUST_XRQLZ9,136.06,79,16,0
CUST_U1309B,30.51,16,10,1
CUST_5FE6SL,63.54,7,1,1
CUST_9Z2PCT,47.93,87,19,1
CUST_A4UEI9,149.52,81,11,0
CUST_Y22AVO,64.4,87,12,0
CUST_GFVOC8,110.96,54,9,1
CUST_2EQEEH,159.53,70,11,0
CUST_N4VTQ0,179.63,20,15,1
CUST_QADK2W,23.38,52,17,1
CUST_08895C,83.2,52,13,1
CUST_79MQAP,67.62,83,11,1
CUST_1XUKW0,40.63,75,1,1
CUST_Q4AU99,86.6,75,14,0
CUST_NSL919,182.82,79,15,0
CUST_RYU3NS,171.25,58,14,0
CUST_N1LZ6T,127.51,12,13,1
CUST_8CASQE,168.01,48,4,0
CUST_AU37H5,111.2,36,13,0
CUST_S0FO3W,167.22,31,1,0
CUST_N4I1EK,161.09,51,7,1
CUST_RGHV5C,21.39,71,6,1
CUST_DFR0SS,186.85,34,1,1
CUST_54MOXT,153.51,7,19,1
CUST_3FPNUY,64.43,74,13,1
CUST_K9BHDT,194.54,17,2,0
CUST_2NBLGU,195.1,65,5,0
CUST_WI9L1X,178.45,58,11,1
CUST_BINIOU,192.34,77,6,1
CUST_HYAXU7,92.05,67,18,1
CUST_ULOBES,184.58,38,2,1
CUST_V7MURU,59.72,50,8,0
CUST_D8H5AS,49.12,20,15,1
CUST_FZMDE5,121.06,24,7,0
CUST_N7LNTL,43.24,51,2,0
CUST_7UVK6Z,135.21,63,14,0
CUST_5G079S,48.69,71,7,1
CUST_FPCUQ8,157.5,65,12,1
CUST_IO6PV7,100.5,31,8,1
CUST_46I7N7,180.42,72,11,1
CUST_AR1RQC,109.96,53,19,0
CUST_K157YS,79.8,13,14,1
CUST_166IQF,153.71,65,11,1
CUST_0BHVRX,85.65,34,13,1
CUST_AY79XG,91.37,76,14,0
CUST_4TQJSH,41.48,44,12,0
CUST_ICW23K,121.21,74,9,1
CUST_RU14G9,104.88,6,10,1
CUST_RAIBR3,196.52,28,19,0
CUST_LHPLSQ,185.34,29,4,0
CUST_1U4EL3,44.65,69,8,1
CUST_FP0BZ4,99.89,59,15,0
CUST_FEDIHC,68.6,27,2,1
CUST_NMPI4E,181.41,47,19,0
CUST_KDF6HH,66.01,43,7,1
CUST_0KT57X,157.05,83,14,1
CUST_WNS1T6,175.66,64,14,1
CUST_XH5YNO,117.43,56,2,1
CUST_GZTSWD,116.81,20,17,0
CUST_01JUOB,194.84,43,12,0
CUST_XD8ND8,42.38,56,1,0
CUST_HDGZ4K,83.88,27,16,1
CUST_KCYL12,157.81,37,18,1
CUST_OF9OMB,50.25,57,7,0
CUST_3TJH5T,141.35,85,19,1
CUST_7VHSYA,179.98,63,3,0
CUST_W5Y3PG,93.34,33,1,0
CUST_3LNJ4E,126.05,77,18,0
CUST_8XPBT6,102.67,32,11,0
CUST_5LX7DB,71.57,9,9,1
CUST_R228Y6,72.64,33,7,0
CUST_UB9JXV,121.56,17,19,1
CUST_NEK6ZY,92.37,84,15,1
CUST_H6J159,59.12,41,9,1
CUST_3L1YHV,87.31,47,4,1
CUST_27XBER,156.07,46,17,0
CUST_30BZFI,100.22,18,16,0
CUST_FPH3PZ,29.25,16,5,0
CUST_3OX5X9,66.08,29,18,1
CUST_R77KDO,195.04,54,5,0
CUST_US4KA5,62.25,78,17,1
CUST_KB2UO6,84.24,25,6,1
CUST_PQZGMR,32.83,88,18,0
CUST_ZY47IB,157.6,30,18,0
CUST_FJ6YCM,97.78,43,19,1
CUST_V0XTFV,119.61,87,7,0
CUST_2MA22Q,138.17,18,16,0
CUST_G4FG88,113.8,87,18,0
CUST_R2J26T,130.88,55,9,1
CUST_1TMOSF,47.5,71,3,0
CUST_3SZ77H,196.13,47,16,1
CUST_U0RR46,139.8,22,5,0
CUST_JZ5RDM,128.38,52,1,1
CUST_4FRN3I,32.25,61,2,1
CUST_7UPVFG,108.36,28,5,1
CUST_RN56P2,69.12,44,10,1
CUST_E2HAMF,89.27,52,11,1
CUST_7A4C8S,167.09,24,6,0
CUST_NYGE7B,45.17,61,11,1
CUST_7DSE0U,62.12,59,11,1
CUST_72XS42,121.42,73,13,0
CUST_UEB53K,41.93,36,7,0
CUST_LUWLB1,94.21,9,16,0
CUST_GYXOLW,52.44,63,7,0
CUST_2HMW7T,53.04,62,11,1
CUST_1BNUVT,65.96,27,9,1
CUST_OMDCVQ,83.06,35,10,1
CUST_7HGKNJ,114.42,73,1,0
CUST_QDPLSS,51.39,57,5,1
CUST_FNT5RI,153.3,41,12,1
CUST_NZCPQ9,175.89,54,6,1
CUST_391IYR,185.03,72,15,1
CUST_7NMJV8,79.98,27,5,0
CUST_OB6I0B,167.62,27,11,1
CUST_9B1WZ4,59.56,29,15,0
CUST_BX5U7T,191.86,75,1,0
CUST_27F7IV,81.82,21,8,0
CUST_CR7MSG,95.22,13,11,1
CUST_HB4IMT,87.15,24,13,1
CUST_HO2XI5,61.71,37,13,1
CUST_USDU33,175.45,9,13,1
CUST_NG8QQY,161.43,65,11,0
CUST_SNTDYC,23.64,54,8,1
CUST_TQEI7K,87.16,73,11,1
CUST_ZPWNUY,103.98,86,4,1
CUST_C5RLCB,45.22,21,13,0
CUST_IK5WKL,60.91,34,2,1
CUST_RPJD4H,154.68,79,9,1
CUST_1SXBGW,162.32,76,7,0
CUST_T8SZ26,181.72,22,6,1
CUST_3ZRNZ3,49.39,17,1,1
CUST_X4L864,37.97,6,11,0
CUST_ACUYQD,93.18,21,16,0
CUST_ICBRSC,172.05,58,1,1
CUST_R2YTGY,31.07,77,14,0
CUST_BLNT6Z,64.91,63,13,0
CUST_M1GI7F,31.87,18,10,0
CUST_C2E0QU,148.06,73,2,1
CUST_S3BF66,73.29,58,15,0
CUST_4FKO5W,145.32,88,6,0
CUST_QVE8E8,25.05,22,4,0
CUST_MXZ0K2,103,34,6,0
CUST_JEDP02,100.77,59,19,0
CUST_0Q6XX1,172.11,27,14,0
CUST_JL4ZVO,73.65,75,15,1
CUST_PUZ5WS,152.62,49,1,0
CUST_3MYKCL,100.84,55,6,0
CUST_Q64NA0,48.55,44,11,1
CUST_M6EW3R,149.46,78,13,1
CUST_NBDIBX,147.79,74,10,1
CUST_MBWCPX,66.8,60,11,1
CUST_R8U8WH,118.21,9,14,0
CUST_V3JN1Q,114.19,25,14,1
CUST_05F4FU,102.76,50,18,1
CUST_I1HW51,155,30,1,0
CUST_NM8K8Z,124.47,75,19,0
CUST_99964B,162.4,84,11,0
CUST_29TPO5,197.75,71,3,0
CUST_G04VGE,24.64,19,18,0
CUST_RS16ZL,144.06,60,10,1
CUST_VV1OL3,194.71,27,13,0
CUST_BIEFKB,62.29,15,1,0
CUST_A9KENT,191.37,5,18,1
CUST_GBX2WF,121.39,19,7,1
CUST_GIX4L7,169.93,22,19,0
CUST_XIEAGE,89.97,34,1,1
CUST_ADRW4R,20.19,39,1,1
CUST_FAVX6R,115.34,88,1,1
CUST_RKXCX9,47.53,89,7,0
CUST_EY4VY2,186.19,6,9,1
CUST_N2I4HL,57.69,23,15,0
CUST_PFSE1L,104.36,20,19,0
CUST_CRNS6Q,174.7,48,14,1
CUST_D38V4C,191.6,46,18,0
CUST_GKS2BO,195.46,66,15,1
CUST_PH1MDA,162.74,46,1,1
CUST_02I4U0,24.25,53,17,1
CUST_IKDXWB,196.22,19,3,0
CUST_MU2VIX,60.31,42,4,0
CUST_G10XTC,71.36,74,1,1
CUST_I09NVH,148.44,21,16,1
CUST_PH2BDB,143.25,42,15,0
CUST_0YE5ND,163.5,69,14,1
CUST_ASKMXZ,90.38,54,4,0
CUST_HQCWO9,148.86,64,9,0
CUST_E2YRB5,191.24,51,12,0
CUST_5RZXAI,172.99,7,8,0
CUST_C80UJQ,140.31,85,18,1
CUST_2KJ6AE,181.32,69,8,1
CUST_CSZUX1,194.86,74,3,1
CUST_FTVG19,128.45,30,6,0
CUST_UQYCSR,176.46,24,12,0
CUST_EODKV0,180.92,21,1,0
CUST_IL7QXK,170.16,25,1,1
CUST_I4KIYK,175.28,8,5,1
CUST_BTEWXV,163.91,82,10,1
CUST_JL9ANM,134.99,87,5,0
CUST_MHYFO8,29.86,63,2,1
CUST_JPSKEY,78.07,76,9,1
CUST_IUHTK7,161.77,26,12,1
CUST_LHQ9YE,167.98,89,13,1
CUST_7LWBCV,130.91,43,15,1
CUST_K2UCGF,91.23,6,3,0
CUST_LI4OTM,177.1,7,5,1
CUST_18LJ9Z,108.59,8,6,0
CUST_6RCBPO,31.64,13,17,0
CUST_W9W7UX,20.01,58,15,0
CUST_Y8IHPX,21.63,9,8,1
CUST_EHFNDR,100.97,18,5,0
CUST_7JMTRB,131.07,69,15,0
CUST_HMS7NA,49.61,62,2,1
CUST_SVLW6O,158.07,77,6,1
CUST_UMJCKC,141.81,16,1,0
CUST_EZWW5G,31.57,41,2,0
CUST_FG9BML,28.16,47,12,1
CUST_IP21YB,166.04,74,3,1
CUST_BANPA5,110.1,9,1,1
CUST_EVAYLG,151.22,56,7,0
CUST_X1FGKC,118.99,86,17,1
CUST_RJHKE6,181.76,9,12,1
CUST_RHIO0N,151.62,85,16,0
CUST_IG8NWZ,34.92,77,18,1
CUST_911LD1,118.47,73,7,1
CUST_I067JD,155.68,32,1,0
CUST_FCVU7Z,183.68,88,4,0
CUST_S2Z0OC,43.14,67,12,1
CUST_VG7616,108.69,80,18,1
CUST_Z2SENI,32.95,37,14,0
